,Unnamed: 0.1,Unnamed: 0,rate,attraction,reviews,details,attraction_url,reviews_url,languages,location_img,ratings_list,path
3417,3417,3417,5.0,3418. To Paradise Morocco,1,City Tours,/Attraction_Review-g293734-d20057310-Reviews-To_Paradise_Morocco-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d20057310-Reviews-To_Paradise_Morocco-Marrakech_Marrakech_Safi.html,"[{'language': 'English', 'count': 1}, {'language': 'All languages', 'count': 1}]",Not Detected,"[{'rating': 'Excellent', 'count': 1}, {'rating': 'Very good', 'count': 0}, {'rating': 'Average', 'count': 0}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
3418,3418,3418,5.0,3419. Ereka Fleuriste,1,Speciality & Gift Shops,/Attraction_Review-g293734-d27825262-Reviews-Ereka_Fleuriste-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d27825262-Reviews-Ereka_Fleuriste-Marrakech_Marrakech_Safi.html,"[{'language': 'French', 'count': 1}, {'language': 'English', 'count': 0}, {'language': 'All languages', 'count': 1}]",blob:https://www.tripadvisor.com/31bc62a8-24dc-456d-a69e-59dd6977ba14,"[{'rating': 'Excellent', 'count': 1}, {'rating': 'Very good', 'count': 0}, {'rating': 'Average', 'count': 0}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
3419,3419,3419,5.0,3420. Discover Morocco Tour,1,Multi-day Tours • Cultural Tours,/Attraction_Review-g293734-d27713616-Reviews-Discover_Morocco_Tour-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d27713616-Reviews-Discover_Morocco_Tour-Marrakech_Marrakech_Safi.html,"[{'language': 'English', 'count': 1}, {'language': 'All languages', 'count': 1}]",Not Detected,"[{'rating': 'Excellent', 'count': 1}, {'rating': 'Very good', 'count': 0}, {'rating': 'Average', 'count': 0}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
3420,3420,3420,5.0,3421. Carrefour de l'Artisanat,1,Speciality & Gift Shops,/Attraction_Review-g293734-d23430442-Reviews-Carrefour_de_l_Artisanat-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d23430442-Reviews-Carrefour_de_l_Artisanat-Marrakech_Marrakech_Safi.html,"[{'language': 'French', 'count': 1}, {'language': 'English', 'count': 0}, {'language': 'All languages', 'count': 1}]",blob:https://www.tripadvisor.com/cef3687e-89d5-440b-b5f9-8addeb4ce6e9,"[{'rating': 'Excellent', 'count': 1}, {'rating': 'Very good', 'count': 0}, {'rating': 'Average', 'count': 0}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
3421,3421,3421,5.0,3422. Tours Morocco,2,City Tours • Multi-day Tours,/Attraction_Review-g293734-d14179745-Reviews-Tours_Morocco-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d14179745-Reviews-Tours_Morocco-Marrakech_Marrakech_Safi.html,"[{'language': 'English', 'count': 2}, {'language': 'All languages', 'count': 2}]",Not Detected,"[{'rating': 'Excellent', 'count': 2}, {'rating': 'Very good', 'count': 0}, {'rating': 'Average', 'count': 0}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
3422,3422,3422,5.0,3423. Marrakech Quad,2,"4WD, ATV & Off-Road Tours • Adrenaline & Extreme Tours",/Attraction_Review-g293734-d17353408-Reviews-Marrakech_Quad-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d17353408-Reviews-Marrakech_Quad-Marrakech_Marrakech_Safi.html,"[{'language': 'English', 'count': 1}, {'language': 'French', 'count': 1}, {'language': 'All languages', 'count': 2}]",Not Detected,"[{'rating': 'Excellent', 'count': 2}, {'rating': 'Very good', 'count': 0}, {'rating': 'Average', 'count': 0}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
3423,3423,3423,5.0,3424. Viaggio In Marocco,1,Multi-day Tours • Adrenaline & Extreme Tours,/Attraction_Review-g293734-d27703840-Reviews-Viaggio_In_Marocco-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d27703840-Reviews-Viaggio_In_Marocco-Marrakech_Marrakech_Safi.html,"[{'language': 'Italian', 'count': 1}, {'language': 'English', 'count': 0}, {'language': 'All languages', 'count': 1}]",Not Detected,"[{'rating': 'Excellent', 'count': 1}, {'rating': 'Very good', 'count': 0}, {'rating': 'Average', 'count': 0}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
3424,3424,3424,4.5,3425. Spa Adonis,2,Spas,/Attraction_Review-g293734-d4581025-Reviews-Spa_Adonis-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d4581025-Reviews-Spa_Adonis-Marrakech_Marrakech_Safi.html,"[{'language': 'French', 'count': 2}, {'language': 'English', 'count': 0}, {'language': 'All languages', 'count': 2}]",Not Detected,"[{'rating': 'Excellent', 'count': 1}, {'rating': 'Very good', 'count': 1}, {'rating': 'Average', 'count': 0}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
3425,3425,3425,5.0,3426. VIAJAMARRUECOS,2,"Multi-day Tours • 4WD, ATV & Off-Road Tours",/Attraction_Review-g293734-d25279976-Reviews-VIAJAMARRUECOS-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d25279976-Reviews-VIAJAMARRUECOS-Marrakech_Marrakech_Safi.html,"[{'language': 'Italian', 'count': 1}, {'language': 'Spanish (Spain)', 'count': 1}, {'language': 'English', 'count': 0}, {'language': 'All languages', 'count': 2}]",Not Detected,"[{'rating': 'Excellent', 'count': 2}, {'rating': 'Very good', 'count': 0}, {'rating': 'Average', 'count': 0}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
3426,3426,3426,5.0,3427. Morocco Tourist Attractions,1,Multi-day Tours • Ancient Ruins,/Attraction_Review-g293734-d27129952-Reviews-Morocco_Tourist_Attractions-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d27129952-Reviews-Morocco_Tourist_Attractions-Marrakech_Marrakech_Safi.html,"[{'language': 'Italian', 'count': 1}, {'language': 'English', 'count': 0}, {'language': 'All languages', 'count': 1}]",Not Detected,"[{'rating': 'Excellent', 'count': 1}, {'rating': 'Very good', 'count': 0}, {'rating': 'Average', 'count': 0}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
