,rate,attraction,reviews,details,attraction_url,reviews_url,uuid
3490,5,3491. Morocco Guide Smile,Reviews not found,Details not found,/Attraction_Review-g293734-d23333608-Reviews-Morocco_Guide_Smile-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d23333608-Reviews-Morocco_Guide_Smile-Marrakech_Marrakech_Safi.html,6207b94d-edd3-4d0e-92ed-5173261cfd68
3491,4.6,3492. Balabil Voyage,Reviews not found,Details not found,/Attraction_Review-g293734-d10324392-Reviews-Balabil_Voyage-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d10324392-Reviews-Balabil_Voyage-Marrakech_Marrakech_Safi.html,566e50c0-7e3f-4174-8fe7-13deb30c85ce
3492,4.5,3493. Hamam Kenza,Reviews not found,Details not found,/Attraction_Review-g298349-d26813017-Reviews-Hamam_Kenza-Essaouira_Marrakech_Safi.html,/Attraction_Review-g298349-d26813017-Reviews-Hamam_Kenza-Essaouira_Marrakech_Safi.html,9235ab77-fc8c-474d-9e4a-dd38ccae895b
3493,4.5,3494. nomad trails,Reviews not found,Details not found,/Attraction_Review-g293734-d32742208-Reviews-Nomad_trails-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d32742208-Reviews-Nomad_trails-Marrakech_Marrakech_Safi.html,c1982530-84f3-4495-959e-ee8b8933fc83
3494,5,3495. Noble Tour,Reviews not found,Details not found,/Attraction_Review-g293734-d11708164-Reviews-Noble_Tour-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d11708164-Reviews-Noble_Tour-Marrakech_Marrakech_Safi.html,9852e7f5-9dd0-405c-bf40-4b5013d28a57
3495,4.1,3496. Hamman,Reviews not found,Details not found,/Attraction_Review-g293734-d4718479-Reviews-Hamman-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d4718479-Reviews-Hamman-Marrakech_Marrakech_Safi.html,74a189a8-6963-474e-ae51-ab110e479ce4
3496,5,3497. Marocco Tour,Reviews not found,Details not found,/Attraction_Review-g293734-d23724334-Reviews-Marocco_Tour-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d23724334-Reviews-Marocco_Tour-Marrakech_Marrakech_Safi.html,797cdb0a-b790-489a-a310-c6d517c9da94
3497,4.3,3498. Delight Trips,Reviews not found,Details not found,/Attraction_Review-g293734-d28633986-Reviews-Delight_Trips-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d28633986-Reviews-Delight_Trips-Marrakech_Marrakech_Safi.html,8ec5bb0b-b9a2-46b2-ab7a-0534d52f7780
3498,5,3499. Private Tours -in- Morocco,Reviews not found,Details not found,/Attraction_Review-g293734-d13459413-Reviews-Private_Tours_in_Morocco-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d13459413-Reviews-Private_Tours_in_Morocco-Marrakech_Marrakech_Safi.html,fc0dceb3-04e4-4e9b-b4a0-848a80ece149
3499,4.5,3500. Good Travel Marrakech,Reviews not found,Details not found,/Attraction_Review-g293734-d32891666-Reviews-Good_Travel_Marrakech-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d32891666-Reviews-Good_Travel_Marrakech-Marrakech_Marrakech_Safi.html,53985829-67f9-42a7-946d-a55241cfecf0
3500,5,3501. Desert Quad Bikes,Reviews not found,Details not found,/Attraction_Review-g293734-d13836467-Reviews-Desert_Quad_Bikes-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d13836467-Reviews-Desert_Quad_Bikes-Marrakech_Marrakech_Safi.html,909cdccf-833e-49b5-a689-085f896c6058
3501,4.2,3502. DTM-Maroc,Reviews not found,Details not found,/Attraction_Review-g293734-d25213645-Reviews-DTM_Maroc-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d25213645-Reviews-DTM_Maroc-Marrakech_Marrakech_Safi.html,232325f7-44f2-42d0-89cf-ed8be87cb4ad
3502,5,3503. Marrakech Desert,Reviews not found,Details not found,/Attraction_Review-g293734-d10501255-Reviews-Marrakech_Desert-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d10501255-Reviews-Marrakech_Desert-Marrakech_Marrakech_Safi.html,964301ce-f09a-484f-b571-d6f6f6fb20d3
3503,5,3504. Semi Private Trips,Reviews not found,Details not found,/Attraction_Review-g293734-d20955206-Reviews-Semi_Private_Trips-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d20955206-Reviews-Semi_Private_Trips-Marrakech_Marrakech_Safi.html,5ac7f54d-2e49-4fe4-a1de-4323c818a432
3504,4.5,3505. Imlil,Reviews not found,Details not found,/Attraction_Review-g293734-d25321527-Reviews-Imlil-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d25321527-Reviews-Imlil-Marrakech_Marrakech_Safi.html,c37cc36c-6bd3-48ba-81c7-644e575f7295
3505,5,3506. Morocco Stunning Travel,Reviews not found,Details not found,/Attraction_Review-g293734-d19769011-Reviews-Morocco_Stunning_Travel-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d19769011-Reviews-Morocco_Stunning_Travel-Marrakech_Marrakech_Safi.html,85f1c403-6c65-4950-a450-39cc2f273bb4
3506,5,3507. Marrakech Experiences,Reviews not found,Details not found,/Attraction_Review-g293734-d12911680-Reviews-Marrakech_Experiences-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d12911680-Reviews-Marrakech_Experiences-Marrakech_Marrakech_Safi.html,f4efa02a-1998-4648-b168-8ab94a55c418
3507,3.7,3508. L'Art Marocain El Abdi Abdeljabbar,Reviews not found,Details not found,/Attraction_Review-g293734-d1803912-Reviews-L_Art_Marocain_El_Abdi_Abdeljabbar-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d1803912-Reviews-L_Art_Marocain_El_Abdi_Abdeljabbar-Marrakech_Marrakech_Safi.html,3ac63651-4338-43cd-b453-0d6949da79e1
3508,5,3509. b6tours,Reviews not found,Details not found,/Attraction_Review-g293734-d24859605-Reviews-B6tours-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d24859605-Reviews-B6tours-Marrakech_Marrakech_Safi.html,78c3ebbc-ba3d-42c8-9770-48d3d0684f98
